actor_id,name,gender,birthday,deathday,movie_ids,age
2244,Jesper Christensen,2,1948-05-16,,"{210816, 619779, 128900, 1179525, 90758, 33928, 455445, 639514, 221210, 885021, 76317, 160415, 1179809, 1435688, 24620, 274990, 415024, 123825, 90417, 8883, 169012, 487096, 56889, 120125, 211005, 709439, 155714, 40002, 1179844, 733379, 568648, 367689, 358346, 199755, 29000, 220237, 1101129, 366800, 15825, 15824, 535253, 15830, 13527, 100570, 100573, 315999, 15840, 180452, 19813, 918628, 155755, 55148, 112, 155762, 58483, 498162, 957176, 250, 450429}",76
2268,Warren Clarke,2,1947-04-26,2014-11-12,{168316},67
2272,Carl Duering,2,1923-05-29,2018-09-01,{107301},95
2310,Bruno Ganz,2,1941-03-22,2019-02-16,{653312},77
2729,Irm Hermann,1,1942-10-04,2020-05-26,{434888},77
2838,Chloë Sevigny,1,1974-11-18,,"{1446048, 1951}",50
3150,Tony Curtis,2,1925-06-03,2010-09-29,{48793},85
3395,Lasse Spang Olsen,2,1965-04-23,,"{33416, 708539, 218871}",59
3397,Dejan Čukić,2,1966-11-25,,"{619779, 55178, 530833, 121500, 306340, 914346, 547066, 14898, 120125, 1101129, 15826, 46296, 50656, 35297, 19299, 477799, 214258, 199924, 147190, 250}",58
3398,Kim Bodnia,2,1965-04-12,,"{18565, 724617, 2061, 4991, 173603, 126250, 374187, 44716, 866227, 61624, 51962, 15931, 15932, 710589, 168510, 17985, 394311, 39118, 15952, 630870, 15835, 6498, 15843, 48746, 199924, 1029880, 250, 10751}",59
3399,Brian Patterson,2,1947-12-08,,"{538336, 179692, 335538, 305719, 250, 15931, 10751}",77
3401,Tomas Villum Jensen,2,1971-04-12,,"{16014, 707735, 33438, 71844, 71845, 62511, 32947, 38586, 718267, 10180, 29000, 10751, 22243, 4972, 377715, 42613, 250, 206846, 1023}",53
3402,Line Kruse,1,1975-08-03,,"{303620, 33928, 139, 359821, 16014, 33424, 799644, 76317, 71844, 71845, 306340, 126250, 986812, 53693, 199743, 365632, 56314, 568648, 1207126, 46296, 4972, 1173996, 58483, 147190, 250}",49
3407,Søren Sætter-Lassen,2,1955-07-11,,"{348675, 207760, 89877, 197270, 133783, 76314, 1408922, 21284, 20389, 707753, 149930, 29097, 244918, 38840, 61881, 1232827, 718267, 1072444, 381630, 12609, 56314, 324163, 367689, 189392, 48728, 207323, 702557, 202088, 250}",69
3409,Lasse Lunderskov,2,1947-11-25,,"{76323, 78276, 29000, 103754, 15825, 309, 23289, 250, 704541, 155743}",77
3410,Preben Harris,2,1935-03-30,,"{306340, 160805, 23588, 57256, 44716, 14893, 330038, 19639, 252747, 1206860, 326608, 33363, 141530, 96860, 100573, 709472, 20458, 148335, 23289, 250}",89
3411,Slavko Labović,2,1962-11-17,,"{11330, 422122, 2061, 492721, 4991, 250, 10751}",62
3509,Daniel Ceccaldi,2,1927-07-25,2003-03-27,{155714},75
3853,Börje Ahlstedt,2,1939-02-21,,"{418737, 177865, 76317}",85
3855,Per Oscarsson,2,1927-01-28,2010-12-31,"{16032, 18565, 33415, 76235, 471724, 198672, 205558, 72538, 15835}",83
3857,Allan Edwall,2,1924-08-25,1997-02-07,{194986},72
3880,Karen-Lise Mynster,1,1952-05-07,,"{901251, 128900, 303620, 1450494, 33417, 718092, 16013, 473101, 42771, 1369363, 958231, 707735, 76316, 56862, 71844, 71845, 1033894, 705065, 274990, 123825, 484915, 160820, 368310, 61624, 489146, 1022266, 53693, 520768, 733379, 1179844, 10180, 33352, 41680, 326609, 708569, 132313, 708571, 15967, 19299, 15844, 750062, 112, 155761, 155762, 385136, 263540, 348660, 147190, 23289, 23291, 23294}",72
3881,Rikke Wölck,0,1954-11-26,,"{60484, 1178250, 359821, 62511, 112, 21267, 15956, 455445, 644212, 1339859, 199934, 1179743}",70
3882,Bent Mejding,2,1937-01-14,,"{11392, 41985, 21266, 498332, 358172, 85282, 3875, 173603, 56749, 1838, 14898, 378932, 20661, 81594, 38586, 381630, 10180, 330054, 394827, 72145, 88273, 35297, 100198, 161517, 112}",87
3883,Elsebeth Steentoft,1,1943-10-04,,"{16012, 34061, 198436, 523561, 44716, 420405, 57272, 269383, 310602, 15825, 1179732, 83284, 48728, 106328, 15845, 4972, 48748, 112, 562546, 425716, 84344, 710523, 1178110}",81
3884,Lene Tiemroth,1,1943-07-16,2016-11-01,"{128900, 33415, 221210, 56864, 15776, 286503, 708538, 1179844, 1436229, 187846, 173768, 1178058, 15831, 15959, 368217, 155743, 112, 155761, 1450494, 4991}",73
3885,Claus Gerving,2,1963-09-02,,"{76323, 112, 706100, 15928, 90682, 15837, 199934}",61
3887,Carlo Barsotti,2,1939-08-25,,{112},85
3888,Alex Nyborg Madsen,2,1960-08-01,,"{112, 116357}",64
3889,Steen Svare,2,1955-12-08,,"{56993, 54626, 203979, 173644, 199755, 112, 60471, 76314, 196603, 22140}",69
3891,Martin Brygmann,2,1963-01-25,,"{122368, 210818, 33283, 116357, 434322, 254741, 374683, 704541, 76457, 80681, 471724, 210476, 33070, 14893, 15149, 80813, 20018, 430768, 30007, 733372, 123968, 12609, 511175, 29000, 513227, 626125, 141008, 378704, 25173, 603094, 451673, 19812, 57189, 48746, 826989, 112, 1514745, 437627}",61
3913,Phil McCall,2,1925-11-26,2002-01-29,{145},76
3921,David Bateson,2,1960-02-09,,"{724449, 20458, 62511, 145, 1215379, 1373972, 73975, 766105, 11196}",64
4002,Roy Dotrice,2,1923-05-26,2017-10-16,{258769},94
4109,Michael Curtiz,2,1886-12-24,1962-04-10,{179835},75
4453,Thomas Vinterberg,2,1969-05-19,,"{1184959, 752908, 309, 825151}",55
4454,Mogens Rukov,2,1943-08-04,2015-12-18,"{9063, 210221, 825151}",72
4455,Ulrich Thomsen,2,1963-12-06,,"{12416, 33928, 752908, 592397, 16014, 77077, 49302, 934039, 659993, 93980, 1120543, 3875, 23588, 519594, 456619, 44716, 171568, 488368, 32947, 169012, 309, 308409, 709439, 825151, 10180, 353614, 15824, 555857, 15834, 1179227, 521052, 702557, 6498, 659940, 1078249, 224491, 425716, 254200, 52473, 1023}",61
4456,Henning Moritzen,2,1928-08-03,2012-08-11,"{1210115, 95492, 42757, 114692, 151562, 207760, 53015, 81562, 56862, 1179806, 144030, 56866, 23588, 286503, 221998, 81582, 1179568, 274990, 221487, 56883, 84021, 309, 57911, 456631, 60473, 60476, 1179965, 187968, 152387, 511684, 41929, 252490, 179405, 329295, 728528, 72145, 176593, 252755, 1393119, 455909, 99430, 286439, 20458, 356843, 357871, 262640, 362353, 248817, 57071, 252788, 377715, 194547, 52473, 252794, 132734}",84
4457,Thomas Bo Larsen,2,1963-11-27,,"{335490, 33412, 90758, 55178, 2061, 46354, 254741, 49302, 80406, 121500, 33438, 1079201, 329892, 33446, 519594, 33070, 221487, 710958, 32947, 309, 23289, 521143, 733372, 707645, 40003, 10180, 29000, 513227, 15821, 15951, 580175, 15955, 1048418, 15844, 19814, 201447, 209513, 148335, 103663, 1382511, 214258, 144630, 56311, 254200, 22137, 437627, 22140, 4991}",61
4458,Paprika Steen,1,1964-11-03,,"{12416, 42757, 116357, 139, 752908, 254741, 49302, 704541, 126250, 243115, 62511, 74674, 378932, 309, 529718, 489146, 11196, 221501, 709439, 825151, 12609, 40002, 427071, 168772, 452, 1101129, 288585, 169038, 15951, 15834, 18908, 50656, 1108450, 102, 19305, 209513, 296944, 310130, 1029880, 1023}",60
4459,Birthe Neumann,1,1947-04-30,,"{33283, 116357, 33414, 752908, 51214, 523534, 33424, 77077, 80406, 246933, 639514, 21276, 534556, 76316, 21278, 206240, 21280, 33446, 57256, 707753, 126250, 44716, 685613, 62510, 62511, 74288, 430768, 225331, 60469, 309, 497790, 60475, 221501, 714432, 84034, 40002, 168386, 1030214, 1054150, 102219, 1451215, 199931, 15955, 141011, 141143, 132313, 15836, 562525, 15838, 199934, 100198, 102, 1070440, 478439, 19306, 717804, 412013, 201454, 199924, 42613, 425716, 957176, 296313, 479226, 797307, 22140, 206846, 33279}",77
4460,Trine Dyrholm,1,1972-04-15,,"{33283, 897155, 200584, 16009, 98444, 752908, 33294, 49302, 659993, 21275, 16031, 173603, 1317159, 519464, 519465, 126250, 456619, 44716, 448172, 523565, 659370, 171568, 309, 57272, 400824, 308409, 718267, 1232827, 710207, 40002, 173768, 173644, 88273, 21973, 335573, 708571, 15838, 35297, 983524, 795365, 15845, 1268847, 155761, 254196, 250, 33279}",52
4461,Helle Dolleris,1,1965-08-05,,"{12416, 716297, 55178, 46354, 77077, 76314, 1035422, 103844, 160805, 519594, 710961, 16050, 309, 580405, 10180, 48724, 708566, 15838, 710624, 710509, 148335, 201207}",59
4462,Therese Glahn,1,1970-07-14,,"{123968, 705060, 19812, 54666, 1067114, 177648, 90417, 20018, 309, 89877, 56311, 23291, 26908, 85213, 1029495}",54
4463,Klaus Bondam,2,1963-11-19,,"{442438, 33414, 73448, 55178, 139, 210476, 14893, 752908, 32944, 16016, 710939, 1369363, 309, 56311, 38840, 56314, 15931, 18908}",61
4464,Bjarne Henriksen,2,1959-01-18,,"{33412, 704520, 357005, 438161, 1424530, 49302, 48790, 1061658, 121500, 103839, 15776, 60065, 1079202, 33443, 726187, 495148, 90417, 492721, 309, 59190, 16059, 708540, 469310, 458560, 197955, 15819, 571854, 15823, 141008, 15956, 1110614, 15961, 15834, 15835, 132313, 396127, 19813, 46823, 213993, 23019, 103663, 147190, 56311, 80893, 199934}",65
4467,Lars Brygmann,2,1957-02-17,,"{38913, 90758, 16013, 16014, 541337, 21276, 206240, 16037, 309, 57272, 939193, 489146, 400824, 986812, 11196, 433082, 221501, 663870, 655297, 99650, 511175, 353614, 178255, 478672, 15824, 15952, 476243, 137556, 15957, 15830, 1110614, 15961, 72538, 15834, 1082462, 1108450, 73448, 1125611, 201454, 278768, 201207, 724600}",67
4468,Lene Laub Oksen,1,1969-06-17,,"{139, 309, 33438, 62511}",55
4469,Linda Laursen,1,1953-01-22,,"{127846, 12712, 705740, 24620, 704541, 254741, 309, 48792, 221501}",71
4637,Leon Lučev,2,1970-01-01,,{98444},54
4654,Jeremy Davies,2,1969-10-08,,{1951},55
4812,Isaach de Bankolé,2,1957-08-12,,{1951},67
5049,John Hurt,2,1940-01-22,2017-01-25,{1951},77
5293,Willem Dafoe,2,1955-07-22,,"{1054150, 1951}",69
5985,Thomas Gammeltoft,2,1963-11-14,,"{15928, 23019, 11196, 13527}",61
6001,Björn Kjellman,2,1963-06-04,,"{128900, 329714, 16012, 359237}",61
6002,Göran Forsmark,2,1955-02-04,2020-08-09,{359237},65
6004,Sten Ljunggren,2,1938-10-16,,"{708541, 525886}",86
6120,Bodil Jørgensen,1,1961-03-03,,"{232201, 359821, 357005, 750223, 46354, 705302, 1061658, 639514, 21275, 316444, 885021, 21278, 103839, 1079202, 329892, 16037, 707753, 126250, 315562, 44716, 62510, 62511, 286896, 459567, 327474, 622129, 296628, 206846, 1119544, 5177, 710204, 1202364, 1082942, 390337, 452, 1054150, 79433, 601545, 15822, 117456, 15825, 15952, 15956, 1339861, 132313, 1446008, 50656, 254200, 56036, 19301, 80361, 4972, 416364, 41454, 1124080, 205558, 201207, 957176, 296313, 886395, 497790}",63
6121,Jens Albinus,2,1965-01-03,,"{335490, 42757, 333446, 33294, 473105, 77077, 254741, 57256, 523561, 1102384, 61624, 123968, 436417, 452, 288585, 397774, 15823, 335573, 15830, 5206, 505942, 709472, 35297, 50656, 709480}",59
6122,Anne Louise Hassing,1,1967-09-17,,"{1173120, 452, 285900, 752908, 62510, 103663, 53904, 703822, 58483, 1136532, 60469, 704535, 106328, 49403, 142332, 103839}",57
6123,Troels Lyby,2,1966-10-15,,"{255746, 706319, 89877, 21275, 16038, 14893, 15149, 400824, 196024, 15928, 708540, 120125, 40002, 452, 15822, 25173, 106328, 15838, 50656, 356326, 416361, 20458, 710635, 1382511, 546161, 725234, 50548, 80893}",58
6124,Louise Mieritz,1,1971-04-30,,"{27520, 33283, 1351174, 55178, 16012, 752908, 77596, 33440, 103844, 160805, 523565, 710204, 77501, 452, 971589, 15822, 117456, 5206, 15959, 196986}",53
6125,Henrik Prip,2,1960-03-31,,"{12416, 33283, 78473, 33294, 76316, 16031, 33953, 16034, 15777, 173603, 20389, 112293, 1178663, 1288610, 460591, 123825, 16050, 57272, 15932, 381630, 40002, 452, 78276, 86985, 5206, 15834, 335585, 56036, 1070440, 1382511, 278768, 394226, 23291, 23294, 16639}",64
6129,Anne-Grethe Bjarup Riis,1,1965-11-21,,"{459556, 452, 23588, 221476, 16040, 48746, 15149, 1838, 23289, 21275, 168510, 875199}",59
6130,Erik Wedersøe,2,1938-07-18,2011-09-27,"{405897, 357005, 212242, 707735, 76317, 754984, 101162, 455339, 1241006, 37551, 38586, 221501, 337087, 452, 252747, 379343, 15835, 424166, 324198, 367590, 100198, 262639, 22137, 22140}",73
6131,Michael Moritzen,2,1954-11-02,,"{335490, 90758, 43032, 53020, 149930, 519594, 14896, 1019835, 40002, 452, 41929, 51147, 141011, 21973, 1339861, 15840, 35297, 22137, 199934}",70
6132,Jan Elle,2,1952-04-01,,"{725937, 452, 218943}",72
6133,Claus Strandberg,2,1948-06-05,2004-08-13,"{1179520, 95491, 33416, 357005, 33424, 22137, 1436320, 1176744, 62510, 62511, 374193, 454834, 368310, 718267, 653373, 33348, 452, 33363, 176600, 161517, 328309, 308725, 218871, 707702, 259193, 205558}",56
6134,Jens Jørn Spottag,2,1957-12-13,,"{532354, 348675, 329219, 54666, 98444, 16015, 750223, 414993, 707735, 1408922, 77596, 93980, 1120543, 103839, 16031, 1079202, 173603, 716580, 702374, 71079, 607528, 15149, 1838, 714297, 15931, 918459, 381630, 1082942, 452, 86985, 177865, 191564, 500941, 169038, 178255, 117456, 15952, 285900, 189395, 971468, 15961, 15836, 414050, 316773, 367590, 202088, 1125611, 1382511, 707698, 1339637, 721785, 22140}",67
6135,John Martinus,2,1939-07-27,2016-08-17,"{210818, 33416, 33420, 33422, 53276, 737564, 93980, 76317, 76321, 12592, 11196, 452, 287429, 1101129, 88273, 15830, 13527, 48728, 15840, 24954}",77
6136,Lars Bjarke,2,1957-06-15,,"{40002, 452, 15821, 296944, 710194}",67
6140,Hans Henrik Clemensen,2,1948-10-04,,"{335490, 460281, 16015, 43032, 1120543, 160805, 1435688, 84652, 8883, 197955, 452, 416965, 197958, 442438, 41929, 86985, 446029, 15822, 702557, 709472, 19299, 19301, 102, 254201, 73448, 646511, 42613, 259193}",76
6141,Lone Lindorff,1,1937-07-23,,"{95491, 41990, 534542, 43032, 56858, 56859, 76316, 1089054, 16039, 1435688, 20661, 330038, 456759, 452, 330054, 220234, 220237, 15825, 13527, 264794, 331614, 176606, 15839, 155755, 72430, 259193, 56314, 1450494, 16639}",87
6142,Erno Müller,2,1917-04-25,2005-07-26,"{221186, 308546, 174211, 452, 176600, 160810, 1241006, 76312, 16029}",88
6143,Regitze Estrup,1,1974-08-01,,"{897155, 452, 19812, 446569, 448172, 357005, 15929, 479226}",50
6144,Lotte Munk,1,1969-10-08,,"{13626, 452, 56245, 103839}",55
6145,Marina Bouras,1,1970-02-21,,"{1113120, 173603, 452, 416965, 195365, 1078249, 1290697, 397774, 1102384, 473105, 329714, 32947, 682963, 546161, 925210, 707645, 710655}",54
6146,Vibeke Windeløv,1,1950-12-22,,"{1446043, 68254}",74
6273,Dani Levy,2,1957-11-17,,{653312},67
6283,Michael Nyqvist,2,1960-11-08,2017-06-27,"{41530, 448172}",56
6285,Frida Hallgren,1,1974-12-16,,{16037},50
6288,Ingela Olsson,1,1958-02-28,,{525886},66
6291,Per Morberg,2,1960-06-23,,"{149930, 199755}",64
6649,Gunnar Björnstrand,2,1909-11-13,1986-05-26,{198783},76
6657,Bibi Andersson,1,1935-11-11,2019-04-14,"{11832, 56883, 297453, 487096}",83
6662,Gunnel Lindblom,1,1931-12-18,2021-01-24,{76235},89
6665,Åke Fridell,2,1919-06-23,1985-08-26,"{252736, 308889}",66
6752,Željko Ivanek,2,1957-08-15,,{1951},67
6754,Mette Berggreen,1,1971-07-22,,"{78473, 201447}",53
6756,Katrine Falkenberg,1,1975-05-15,,"{42771, 79557}",49
6759,Fridrik Thor Fridriksson,2,1954-05-12,,{5206},70
7030,Henry Goodman,2,1950-04-23,,{702557},74
7063,Nina Sosanya,1,1969-06-06,,{1951},55
7372,Pedro Armendáriz Jr.,2,1940-04-06,2011-12-26,{378951},71
7568,Dominique Davray,1,1919-01-27,1998-08-16,{56882},79
7569,Harriet Andersson,1,1932-02-14,,{337087},92
7570,Lauren Bacall,1,1924-09-16,2014-08-12,"{1446048, 1951}",89
7803,Christian Berkel,2,1957-10-28,,{8883},67
7827,Maren Eggert,1,1974-01-30,,{616619},50
8269,Suzanne Cryer,1,1967-01-13,,{248140},57
8742,Ingrid Thulin,1,1926-01-27,2004-01-07,{341536},77
8963,Karen Black,1,1939-07-01,2013-08-08,{515684},74
9741,Jean Marais,2,1913-12-11,1998-11-08,{19306},84
9912,Martin Benson,2,1918-08-10,2010-02-28,{138099},91
10224,Clifton James,2,1920-05-29,2017-04-15,{48793},96
10237,Julia Jäger,1,1970-01-28,,{48790},54
10279,Adolf Hitler,2,1889-04-20,1945-04-30,{653312},56
10341,Britt Ekland,1,1942-10-06,,{498332},82
10735,Gwen Taylor,1,1939-02-19,,{425716},85
10912,Eva Green,1,1980-07-06,,{266285},44
11044,Shanti Roney,2,1970-11-24,,"{659940, 15844, 41454, 16031}",54
11045,Ola Rapace,2,1971-12-03,,"{287491, 335573}",53
11110,Kate Ashfield,1,1972-05-28,,{538715},52
11917,Margaretha Krook,1,1925-10-15,2001-05-07,{168316},75
12134,Sally Kirkland,1,1941-10-31,,{248140},83
12153,Torben Meyer,2,1884-11-30,1975-05-22,"{922112, 624009, 749194, 628091, 846229, 683798, 1303832, 803096, 1073052, 646045, 157856, 238634, 963758, 77133, 238290, 629207, 641634, 1465712, 539762, 128372, 179835, 238462, 1195135}",90
12272,Noël Roquevert,2,1892-12-18,1973-11-06,{56882},80
12776,Senta Berger,1,1941-05-13,,{168316},83
12795,Nikolaj Coster-Waldau,2,1970-07-27,,"{416772, 33415, 16013, 1029880, 48790, 766105, 206240, 23598, 32947, 11196, 655297, 310602, 555857, 538715, 50656, 6498, 112104, 19306, 254200, 4991}",54
12977,Malik Yoba,2,1967-09-17,,{51147},57
13380,Hans Richter,2,1919-01-12,2008-10-05,"{751472, 1162505}",89
13465,Jerold Wells,2,1908-08-08,1999-07-19,"{9063, 1208759}",90
13808,Andrzej Szopa,2,1952-05-26,2022-12-31,{15836},70
15082,Jeppe Kaas,2,1966-11-23,,"{123968, 60484, 374187, 4972, 23019, 1514155, 62511, 13527, 57272, 11196}",58
15084,Anders Villadsen,2,1964-04-29,,{15776},60
15085,Ole Thestrup,2,1948-03-12,2018-02-02,"{357005, 207760, 46354, 525055, 21273, 221210, 358172, 21276, 76316, 160415, 68255, 21279, 20386, 93980, 44580, 67229, 33446, 21278, 315562, 45362, 377268, 28985, 300220, 1184959, 541634, 10180, 78276, 29000, 79433, 15836, 4972, 41454, 65007, 425716, 72054, 296313, 206844, 1023}",69
