actor_id,movie_ids,adult,also_known_as,biography,birthday,deathday,gender,homepage,imdb_id,known_for_department,name,place_of_birth,popularity,profile_path
921,{79433},False,[],"Brigitte Nielsen (born Gitte Nielsen; July 15, 1963) is a Danish actress, model, singer, and television personality, who began her acting career with appearances in the 1985 films Red Sonja and Rocky IV. She is also known for her marriage to Sylvester Stallone (1985-1987) and subsequently appeared with him in the 1986 film Cobra. She then was noted for her widely publicized breakup with Stallone in 1987, and her subsequent relationship with New York Jets defensive end Mark Gastineau from 1988 to 1990. She's also known for her relationship with rapper Flavor Flav in 2005.

She began her career modeling for Greg Gorman and Helmut Newton. She then acted in the 1985 films Red Sonja and Rocky IV, later returning to the Rocky series in Creed II (2018). Nielsen married Sylvester Stallone, with whom she starred in the 1986 film Cobra. She played a villain in Beverly Hills Cop II (1987) and starred as the Black Witch in the 1990s Italian film series Fantaghirò. She later built a career starring in B-movies, hosting TV shows, and appearing on reality shows.

Her exploits were well-covered in the entertainment media in the 1980s, and the world press started referring to her as an ""Amazon""  because of her tall stature (verified by the Guinness Book of World Records at six feet, or 1.82 meters).  She first commented on her stature and used the term ""Amazonian"" to describe herself in 1985. She later built a career appearing in B-movies, and in the 2000s, for appearing on reality shows such as The Surreal Life, on which she met and began a relationship with rapper Flavor Flav. In 2008, she appeared on the reality show Celebrity Rehab with Dr. Drew, which depicted her and several other celebrities dealing with recovery from drug and alcohol addiction.

She's been married 5 times, Sylvester Stallone was her second husband. She has 5 children: a son with her first husband, a son with NY Jets football player Marc Gastineau, 2 sons with her fourth husband, and a daughter (at the age of 54) with her fifth husband, who is 15 years younger. In her 2011 book, she revealed having had an affair with Arnold Schwarzenegger (he verified this in 2020) during the filming of Red Sonja (1985), after Schwarzenegger had just started a relationship with Maria Shriver.  Besides her native Danish, she is fluent in English, German and Italian.

Description above from the Wikipedia article Brigitte Nielsen, licensed under CC-BY-SA, full list of contributors on Wikipedia​",1963-07-15,,1,http://www.brigittenielsen.com/,nm0000557,Acting,Brigitte Nielsen,"Rødovre, Danmark",0.6148,/lkP0qKkDOvVk0ETZX0bx3Qmufkm.jpg
935,"{1061064, 3875, 68254}",False,"['Connie Inge-Lise Nielsen', '코니 닐슨', '康妮·尼尔森', 'Κόνι Ίνγκε-Λις Νίλσεν', 'コニー ニールセン', 'کانی نیلسن', 'كوني نيلسن']","Connie Inge-Lise Nielsen (born July 3, 1965) is a Danish actress. She began her acting career working alongside her mother on the local revue and variety scene. At 18, she traveled to Paris, where she worked as an actress and model, which led to further work. She has starred as Lucilla in the films Gladiator (2000) and Gladiator II (2024) and as Queen Hippolyta in the DC Extended Universe. Nielsen is fluent in her native Danish, English, French, German, Italian, Norwegian and Swedish.",1965-07-03,,1,,nm0001567,Acting,Connie Nielsen,"Elling, Frederikshavn, Denmark",3.4837,/lvQypTfeH2Gn2PTbzq6XkT2PLmn.jpg
955,{378951},False,"['Penélope Cruz Sánchez', 'Пенелопа Крус', 'بينيلوب كروز', 'ペネロペ・クルス', 'เปเนโลเป กรุซ', '佩内洛普·克鲁兹', 'Πενέλοπε Κρουζ', '페넬로페 크루즈', 'پنه\u200cلوپه کروز', 'פנלופה קרוז', 'پنه لوپه کروز', '페넬루페 크루즈']","Penélope Cruz Sánchez (born April 28, 1974) is a Spanish actress. Prolific in Spanish and English-language films, she has received various accolades, including an Academy Award, a BAFTA Award and three Goya Awards.

Cruz made her acting debut on television at age 16 and her feature film debut the following year in Jamón Jamón (1992). Her subsequent roles included Belle Époque (1992), Open Your Eyes (1997), Don Juan (1998), The Hi-Lo Country (1999), The Girl of Your Dreams (2000) and Woman on Top (2000). She is known for her frequent collaborations with Spanish director Pedro Almodóvar in Live Flesh (1997), All About My Mother (1999), Volver (2006), Broken Embraces (2009), I'm So Excited! (2013), Pain and Glory (2019) and Parallel Mothers (2021).

For her role in Woody Allen's romantic drama Vicky Cristina Barcelona (2008), Cruz won the Academy Award for Best Supporting Actress. Her other Oscar-nominated roles are in Volver (2006), Nine (2009) and Parallel Mothers (2021). Other notable films include Vanilla Sky (2001), Blow (2001), Pirates of the Caribbean: On Stranger Tides (2011), The Counselor (2013), Murder on the Orient Express (2017), Everybody Knows (2018), Official Competition (2022), L'immensità (2022) and Ferrari (2023). For her role as Donatella Versace in the miniseries The Assassination of Gianni Versace: American Crime Story (2018), she received a Primetime Emmy Award nomination. She is the only Spanish actress to have won an Academy Award and received a star on the Hollywood Walk of Fame.

Cruz has also modelled for Mango, Ralph Lauren and L'Oréal and designed clothing for Mango with her younger sister, Mónica Cruz. She has been a house ambassador for Chanel since 2018. She volunteered in Uganda and India, where she spent one week working with Mother Teresa, and donated her salary from The Hi-Lo Country to help fund the late nun's mission.",1974-04-28,,1,,nm0004851,Acting,Penélope Cruz,"Madrid, Spain",1.8477,/mSUUioSTuECMiyRR1DabK6leTdg.jpg
1004,{248140},False,"['Daniel Louis Aiello Jr.', 'Daniel Aiello', 'Dan Aiello ', '丹尼·愛羅']","Daniel Louis Aiello Jr. (June 20, 1933 – December 12, 2019) was an American actor. He appeared in numerous films, including The Godfather Part II (1974), The Front (1976), Once Upon a Time in America (1984), The Purple Rose of Cairo (1985), Moonstruck (1987), Harlem Nights (1989), Hudson Hawk (1991), Ruby (1992), Léon: The Professional (1994), 2 Days in the Valley (1996), Dinner Rush (2000), and Lucky Number Slevin (2006). He had a pivotal role in the Spike Lee film Do the Right Thing (1989) as Salvatore ""Sal"" Frangione, earning a nomination for the Academy Award for Best Supporting Actor. He also played Don Domenico Clericuzio in the miniseries The Last Don (1997).",1933-06-20,2019-12-12,2,,nm0000732,Acting,Danny Aiello,"Manhattan, New York City, New York, USA",0.53,/2WiZ8SkiFU355GUT2QuSPlenrfM.jpg
1011,{752908},False,"['수잔 비에르', 'Susanne Bier', 'سوزان بيير']","Susanne Bier (Danish: [suˈsænə ˈpiɐ̯ˀ]; born 15 April 1960) is a Danish filmmaker. Bier is the first female director to collectively receive an Academy Award (Foreign Film), a Golden Globe Award, a European Film Award (for In a Better World) and a Primetime Emmy Award (for directing The Night Manager).

Bier debuted her feature film with Freud's Leaving Home (1991). She directed a string of films, including Open Hearts (2002), Brothers (2004), After the Wedding(2006), and In a Better World (2010), the later of which earned the Academy Award for Best International Feature Film. She directed the English-language films Things We Lost in the Fire (2007), Love Is All You Need (2012), Serena (2014), and Bird Box(2018).

She directed the BBC One / AMC miniseries The Night Manager (2016) on television, earning the Primetime Emmy Award for Outstanding Directing for a Limited or Anthology Series or Movie. She also directed the HBO psychological miniseries The Undoing (2020), the Showtime historical anthology series The First Lady (2022), and the Netflix mystery series, The Perfect Couple (2024).

Description above from the Wikipedia article Susanne Bier, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1960-04-15,,1,,nm0081540,Directing,Susanne Bier,"Copenhagen, Denmark",0.5021,/tVp2J7hMAgJnaXtQojFN3VTVYaY.jpg
1012,"{752908, 752910}",False,"['A.T. Jensen', ' Андерс Томас Єнсен']","Anders Thomas Jensen (born 6 April 1972 in Frederiksværk) is a Danish screenwriter and film director. Jensen won the Oscar for his 1998 film Election Night. He also received Oscar nominations in the live-action short category for his films Ernst & The Light (1996) and Wolfgang (1997). From the end of the 1990s and into the new millennium he wrote the screenplays for most of the Danish movie blockbusters of the period, including Mifune's Last Song (co-written with Søren Kragh-Jacobsen), In China They Eat Dogs, Open Hearts, Stealing Rembrandt, and Brothers. In 2000 Anders Thomas Jensen for the first time directed a feature film: the action-comedy Flickering Lights, and since then directed The Green Butchers and Adam's Apples. In 2005 he received the Nordisk Film Award (1000 Danish kroner times the age of Nordisk Film).",1972-04-06,,2,,nm0421314,Directing,Anders Thomas Jensen,"Frederiksværk, Danmark",0.1987,/uxSfY1Svi9WJvqX7IJWapFvTrgA.jpg
1017,"{12416, 348675, 752908, 33294, 20389, 76458, 396340, 196024, 523576, 41530, 11196, 18880, 655297, 270668, 15831, 538715, 420956, 15837, 990691, 102, 224491, 199924, 562551, 1029880, 16639}",False,[],,1974-01-04,,1,,nm1003081,Acting,Sonja Richter,"Esbjerg, Danmark",0.6047,/wxVFkwfMBJ3YkQQWWB5fQjx4zfu.jpg
1018,"{296313, 16014, 29456, 95385, 1446043, 3875, 173603, 33446, 1317159, 448172, 622129, 22194, 14898, 196024, 38586, 11196, 221501, 15932, 663870, 986812, 436417, 452, 10180, 25540, 79557, 1054150, 199755, 10751, 475088, 141011, 15962, 254200, 245858, 22243, 479226, 102, 73448, 250, 19306, 4972, 1446008, 254201, 56314, 348668, 1023}",False,['نیکلای لی کاس'],Nikolaj Lie Kaas (born 22 May 1973) is a prominent Danish actor whose career rose in the 1990s and who is still actively working today. He is the son of actor Preben Kaas and actor and writer Anne Mari Lie and father of two.,1973-05-22,,2,,nm0509263,Acting,Nikolaj Lie Kaas,"Glostrup, Denmark",0.9409,/zRu68e0GSwHJC7QOcbO77xIAM9J.jpg
1019,"{2061, 158605, 16017, 156, 534556, 14893, 23598, 266285, 32947, 8883, 980026, 663870, 187968, 17985, 11328, 10180, 580175, 88273, 3549, 254947, 567398, 102, 4972, 103663, 56311, 296313, 1023}",False,"['Mads Dittmann Mikkelsen', 'Mads D. Mikkelsen', 'マッツ・ミケルセン', 'مادس ميكلسن', '麦斯·米科尔森', '매즈 미켈슨', 'Μαντς Μίκελσεν', '邁茲·米克森', 'مس میکلسن', 'متس میکلسن']","Mads Dittmann Mikkelsen (Danish: [ˈmæsˈme̝kl̩sn̩]; born 22 November 1965) is a Danish actor. He rose to fame in Denmark as an actor for his roles such as Tonny in the first two films of the Pusher film trilogy (1996, 2004), Detective Sergeant Allan Fischer in the television series Rejseholdet (2000–2004), Niels in Open Hearts (2002), Svend in The Green Butchers (2003), Ivan in Adam's Apples (2005), and Jacob Petersen in After the Wedding (2006).

Mikkelsen achieved worldwide recognition for playing the main antagonist, Le Chiffre, in the twenty-first James Bond film, Casino Royale (2006). His other film roles include Igor Stravinsky in Coco Chanel & Igor Stravinsky (2008), Johann Friedrich Struensee in A Royal Affair (2012), his Cannes Film Festival Best Actor Award-winning performance as Lucas in the Danish film The Hunt (2012), Kaecilius in Marvel's Doctor Strange (2016), Galen Erso in Lucasfilm's Rogue One (2016), his BAFTA-nominated role as Martin in Another Round (2020), Gellert Grindelwald in Fantastic Beasts: The Secrets of Dumbledore (2022), Dr. Jürgen Voller in Indiana Jones and the Dial of Destiny (2023), and Captain Ludwig Kahlen in The Promised Land (2023). Outside of film, he is known for his roles as Dr. Hannibal Lecter in the television series Hannibal (2013–2015) and Cliff Unger in Hideo Kojima's video game Death Stranding (2019).

A. O. Scott of The New York Times remarked that in the Hollywood scene, Mikkelsen has ""become a reliable character actor with an intriguing mug"" but stated that on the domestic front ""he is something else: a star, an axiom, a face of the resurgent Danish cinema"".

Description above from the Wikipedia article Mads Mikkelsen, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1965-11-22,,2,,nm0586568,Acting,Mads Mikkelsen,"Østerbro, Copenhagen, Denmark",2.9388,/ntwPvV4GKGGHO3I7LcHMwhXfsw9.jpg
1021,"{1030214, 102}",False,['Stine Bjerregaard'],,1986-09-05,,1,,nm0084826,Acting,Stine Bjerregaard,Danmark,0.0491,/bH6QKMSaL8HgS2RgiE7dgJBHEck.jpg
1023,"{33414, 1490443, 1382539, 16014, 53904, 33298, 1031315, 80406, 1077019, 21281, 1288610, 3875, 21284, 33446, 707751, 704679, 29097, 74288, 20018, 140604, 53693, 1202364, 73665, 38851, 60484, 141008, 425554, 30677, 48728, 30681, 30682, 18908, 1359071, 54626, 19812, 87013, 102, 1047914}",False,[],,1960-03-08,,2,,nm0647757,Acting,Niels Olsen,"Aarhus, Danmark",0.1412,/14DqKFpN2ElvzNjddvkMUly2rdT.jpg
1024,"{12416, 95491, 700037, 24454, 523527, 1538957, 1444494, 254735, 42771, 1436311, 56857, 48793, 1077019, 53020, 389407, 85281, 84131, 140197, 56873, 983465, 16043, 1117100, 16044, 962737, 57906, 120628, 970935, 187194, 11196, 15932, 60478, 187328, 12609, 1179714, 541634, 706756, 176582, 358346, 100558, 15824, 54609, 218968, 15961, 6498, 1048418, 102, 19306, 1437291, 61297, 1479154, 52596, 1029880, 24953, 24956, 11389}",False,[],,1940-11-15,2024-10-28,2,,nm0683397,Acting,Ulf Pilgaard,"Skive, Danmark",0.093,/108pcSiyuB6A6qO6ZmOWM3GxxQT.jpg
1025,"{15842, 38851, 102, 710631, 155761, 59190}",False,['Ronnie Hiort Lorenzen'],,1993-04-05,,2,,nm1126623,Acting,Ronnie Lorenzen,"Fløng, Danmark",0.0821,/926yqiVr8fSU7cL3Mss2MZUkdbu.jpg
1026,"{50656, 663870, 479226, 102, 232201, 471724, 62511, 33298, 25173, 56311, 48728, 15961, 196986, 121500, 23294}",False,['Stig Anders Nyborg'],,1963-06-19,,2,,nm0638520,Acting,Anders Nyborg,,0.5464,/iLNstFn1auql0hNbwozROPfvDiQ.jpg
1083,{348668},False,[],"Armin Rohde was born on April 4, 1955 in Gladbeck, Germany. He is an actor, known for Run Lola Run (1998), Contagion (2011) and A Sound of Thunder (2005). He has been married to Angela Baronin von Schilling since 1995. Has been a noted stage actor, often performing at the Schauspielhaus Bochum. Brother of Uwe Rohde, son of Kurt Rohde. Took acting lessons at the Folkwang-Schule in Essen and a clown school in France. Resides in Bochum. Is frequently cast as a blue-collar man. Before starting his acting career, he worked as courier and in a factory. After losing a bet on Wetten, dass..? (1981), he had to run naked from one to the other end of the studio, which was broadcast on live television (2003).",1955-04-04,,2,,nm0737465,Acting,Armin Rohde,"Gladbeck, Germany",0.2314,/h1CuhGgADJFD9vw1IYFskJK9q9V.jpg
1118,{418737},False,"['Rade Sherbedgia', 'Rade Serbedzija', 'Раде Шербеџија', 'Раде Шербеджия', 'راده شربه\u200cجیا', 'راده شربه\u200cجییا']","Rade Šerbedžija (Serbian Cyrillic: Раде Шербеџија; born July 27, 1946) is a Croatian actor, director and musician of Serb ethnicity

He was one of the most popular Yugoslav actors in the 1970s and 1980s. He is internationally known mainly for his supporting roles in Hollywood films such as Harry Potter and the Deathly Hallows: Part 1, X-Men: First Class, The Saint, Mission: Impossible II and Taken 2, and for his recurring role on 24.",1946-07-27,,2,,nm0784884,Acting,Rade Šerbedžija,"Bunić, Croatia, Yugoslavia",0.816,/1mJC5oD3pLH1vAS3wJ4sGNxYeqJ.jpg
1174,"{734107, 568648, 179692, 359821, 210221, 148335, 752908, 579570, 1446043, 85213, 15967}",False,[],,1956-04-08,,2,,nm0421639,Production,Peter Aalbæk Jensen,"Osted, Danmark",0.0978,/9Zpmo9qyvyH6ZTO61VsJvQLbBx9.jpg
1175,"{306340, 60471}",False,[],,1964-08-18,,2,,nm0845612,Camera,Morten Søborg,,0.2484,/aSRGYc1YuW7sStOfYJPQXD44Stq.jpg
1176,{752908},False,"['Lone Wrede Scherfig ', '론 쉐르픽 ']","From Wikipedia, the free encyclopedia.

Lone Scherfig (born May 2, 1959) is a Danish film director. She graduated Danish Film School in 1984, and began her career as a director with Kaj's fødselsdag ""A Birthday Trip"". She made her mark with the Dogme95-film, Italian for Beginners (Italiensk for begyndere, 2000), a romantic comedy which among its many international awards won the Silver Berlin Bear (Jury Prize) at the 2001 Berlin International Film Festival. It is credited as the most profitable Scandinavian film to date. Most recently she's directed An Education (2009), based on an autobiographical article by British journalist Lynn Barber. The independent film was nominated for three of the 82nd Academy Awards.",1959-05-02,,1,,nm0771054,Directing,Lone Scherfig,"Søborg, Danmark",0.2888,/oYkh2tQyqQaZQl1cOZFdEo3ikEN.jpg
