name,birthday,deathday,gender,person_id
Gene Hackman,1930-01-30,2025-02-17,2,193
Richard Harris,1930-10-01,2002-10-25,2,194
David Silverman,1957-03-15,,2,197
Dan Castellaneta,1957-10-29,,2,198
Julie Kavner,1950-09-07,,1,199
Nancy Cartwright,1957-10-25,,1,200
Michel Gondry,1963-05-08,,2,201
Charlie Kaufman,1958-11-19,,2,202
Kate Winslet,1975-10-05,,1,204
Kirsten Dunst,1982-04-30,,1,205
Jim Carrey,1962-01-17,,2,206
Tom Wilkinson,1948-02-05,2023-12-30,2,207
Jane Adams,1965-04-01,,1,209
David Cross,1964-04-04,,2,212
Noah Lomax,2001-11-07,,2,524503
Josh Flitter,1994-08-25,,2,216
Alejandro González Iñárritu,1963-08-15,,2,223
David Cronenberg,1943-03-15,,2,224
Ashton Holmes,1978-02-17,,2,225
Heidi Hayes,1998-09-25,,1,226
Ed Harris,1950-11-28,,2,228
William Hurt,1950-03-20,2022-03-13,2,227
Peter MacNeill,1952-01-14,,2,229
Stephen McHattie,1947-02-03,,2,230
Greg Bryk,1972-08-19,,2,231
Kyle Schmid,1984-08-03,,2,232
Sumela Kay,1986-07-25,,1,233
Aidan Devine,1968-08-01,,2,237
Arthur C. Clarke,1917-12-16,2008-03-19,2,241
Keir Dullea,1936-05-30,,2,245
Ever Mainard,1990-08-15,,3,1835253
Margaret Tyzack,1931-09-09,2011-06-25,1,250
Gael García Bernal,1978-11-30,,2,258
Marco Pérez,1977-03-17,,2,260
Emilio Echevarría,1944-07-03,2025-01-04,2,263
Rodrigo Murray,1969-07-24,,2,265
Humberto Busto,1978-06-23,,2,266
Adriana Barraza,1956-03-05,,1,270
Guillermo Arriaga,1958-03-13,,2,273
Rodrigo Prieto,1965-11-23,,2,275
Gustavo Santaolalla,1951-08-19,,2,278
Terry Gilliam,1940-11-22,,2,280
Charles Roven,1949-08-02,,2,282
Brad Pitt,1963-12-18,,2,287
Jon Seda,1970-10-14,,2,288
Madeleine Stowe,1958-08-18,,1,289
Christopher Plummer,1929-12-13,2021-02-05,2,290
Frank Gorshin,1933-04-05,2005-05-17,2,291
Josh Olson,1963-01-10,,2,305
John Wagner,1949-01-01,,2,306
Igor Slavinskiy,1952-02-08,2018-08-07,2,1311028
Pedro Almodóvar,1949-09-24,,2,309
Jon Brion,1963-12-11,,2,312
Curtis Hanson,1945-03-24,2016-09-20,2,323
Eminem,1972-10-17,,2,325
Kim Basinger,1953-12-08,,1,326
Mekhi Phifer,1974-12-29,,2,327
Brittany Murphy,1977-11-10,2009-12-20,1,328
Evan Jones,1976-04-01,,2,333
Omar Benson Miller,1978-10-07,,2,334
Michael Shannon,1974-08-07,,2,335
Xzibit,1974-09-18,,2,336
Proof,1973-10-02,2006-04-11,2,337
Obie Trice,1977-11-14,,2,338
Ashlie Walker,1984-04-05,,1,1048910
Brian Grazer,1951-07-12,,2,339
De'Angelo Wilson,1979-03-29,2008-11-26,2,341
Eugene Byrd,1975-08-28,,2,342
Taryn Manning,1978-11-06,,1,343
Jimmy Iovine,1953-03-11,,2,340
Mike Bell,1967-11-03,,2,346
William Goldman,1931-08-12,2018-11-16,2,348
Scott Glenn,1939-01-26,,2,349
Laura Linney,1964-02-05,,1,350
Judy Davis,1955-04-23,,1,351
Dennis Haysbert,1954-06-02,,2,352
Rachel Butera,1972-01-28,,1,1573215
Jack N. Green,1946-11-18,,2,356
Hany Abu-Assad,1961-10-11,,2,357
James Mangold,1963-12-16,,2,366
Wilson Ng,1962-09-21,,2,1573231
Reese Witherspoon,1976-03-22,,1,368
Henry Bumstead,1915-03-17,2006-05-24,2,369
Charles McKeown,1946-01-01,,2,374
Patrick Cassavetti,1950-09-01,,2,377
Jonathan Pryce,1947-06-01,,2,378
Robert De Niro,1943-08-17,,2,380
Katherine Helmond,1929-07-05,2019-02-23,1,381
Bob Hoskins,1942-10-26,2014-04-29,2,382
Michael Palin,1943-05-05,,2,383
Ian Richardson,1934-04-07,2007-02-09,2,385
Peter Vaughan,1923-04-04,2016-12-06,2,386
Kim Greist,1958-05-12,,1,387
Jim Broadbent,1949-05-24,,2,388
Alison Eastwood,1972-05-22,,1,389
Geraldine Chaplin,1944-07-31,,1,400
Tim Stack,1956-11-21,,2,262546
Melora Hardin,1967-06-29,,1,404
Gill Dennis,1941-01-25,2015-05-13,2,407
James Keach,1947-12-07,,2,408
Chris Witaske,1983-06-12,,2,1573273
John Carter Cash,1970-03-03,,2,410
David Brooks,1961-08-11,,0,524700
Ginnifer Goodwin,1978-05-22,,1,417
Robert Patrick,1958-11-05,,2,418
Tyler Hilton,1983-11-22,,2,419
Waylon Payne,1972-04-05,,2,422
Dallas Roberts,1970-05-10,,2,424
Larry Bagby,1974-03-07,,2,426
Sandra Ellis Lafferty,1940-08-02,,1,427
Lucas Till,1990-08-10,,2,429
Phedon Papamichael,1962-02-10,,2,432
Hilary Swank,1974-07-30,,1,448
Jay Baruchel,1982-04-09,,2,449
Mike Colter,1976-08-26,,2,450
Lucia Rijker,1967-12-07,,1,451
Riki Lindhome,1979-03-05,,1,453
Paul Haggis,1953-03-10,,2,455
Margo Martindale,1951-07-18,,1,452
Michael Peña,1976-01-13,,2,454
Albert S. Ruddy,1930-03-28,2024-05-25,2,457
Tom Stern,1946-12-16,,2,460
Stephen Daldry,1961-05-02,,2,468
Kate McIninch,1978-12-24,,1,1835484
Julie Walters,1950-02-22,,1,477
Jamie Bell,1986-03-14,,2,478
Jamie Draven,1979-05-14,,2,479
Gary Lewis,1958-11-30,,2,480
Wallace Wolodarsky,1963-02-15,,2,486
Steven Spielberg,1946-12-18,,2,488
Kathleen Kennedy,1953-06-05,,1,489
John Williams,1932-02-08,,2,491
Janusz Kamiński,1959-06-27,,2,492
Tom Cruise,1962-07-03,,2,500
Dakota Fanning,1994-02-23,,1,501
Miranda Otto,1967-12-16,,1,502
Justin Chatwin,1982-10-31,,2,503
Tim Robbins,1958-10-16,,2,504
David Koepp,1963-06-09,,2,508
Tim Burton,1958-08-25,,2,510
Jack Nicholson,1937-04-22,,2,514
Glenn Close,1947-03-19,,1,515
Annette Bening,1958-05-29,,1,516
Danny DeVito,1944-11-17,,2,518
Pierce Brosnan,1953-05-16,,2,517
Martin Short,1950-03-26,,2,519
Sarah Jessica Parker,1965-03-25,,1,520
Michael J. Fox,1961-06-09,,2,521
Rod Steiger,1925-04-14,2002-07-09,2,522
Natalie Portman,1981-06-09,,1,524
Christopher Nolan,1970-07-30,,2,525
Tom Jones,1940-06-07,,2,523
Lukas Haas,1976-04-16,,2,526
Jonathan Nolan,1976-06-06,,2,527
Misty Copeland,1982-09-10,,1,1573387
Guy Pearce,1967-10-05,,2,529
Carrie-Anne Moss,1967-08-21,,1,530
Danny Elfman,1953-05-29,,2,531
Joe Pantoliano,1951-09-12,,2,532
Mark Boone Junior,1955-03-17,,2,534
Jorja Fox,1968-07-07,,1,536
Stephen Tobolowsky,1951-05-30,,2,537
Harriet Sansom Harris,1955-01-08,,1,538
Thomas Lennon,1970-08-09,,2,539
Callum Keith Rennie,1960-09-14,,2,540
Marianne Muellerleile,1948-11-26,,1,543
Larry Holden,1961-05-15,2011-02-13,2,544
Matthew Barry,1962-09-05,,2,545
Thelonious Monk,1917-10-10,1982-02-17,2,1049119
Emma Thomas,1971-12-09,,1,556
Mavis Staples,1939-07-10,,1,262701
Colleen Atwood,1948-11-25,,1,557
Wally Pfister,1961-07-08,,2,559
Richard Linklater,1960-07-30,,2,564
Taryll Jackson,1975-08-08,,2,2622005
Ethan Hawke,1970-11-06,,2,569
Fred Frith,1949-02-17,,2,577
Ridley Scott,1937-11-30,,2,578
Michael Deeley,1932-08-06,,2,581
Hampton Fancher,1938-07-18,,2,583
Philip K. Dick,1928-12-16,1982-03-02,2,584
Rutger Hauer,1944-01-23,2019-07-19,2,585
Sean Young,1959-11-20,,1,586
Edward James Olmos,1947-02-24,,2,587
M. Emmet Walsh,1935-03-22,2024-03-19,2,588
Daryl Hannah,1960-12-03,,1,589
William Sanderson,1944-01-10,,2,590
Jason Calacanis,1970-11-28,,2,3408460
Joanna Cassidy,1945-08-02,,1,593
Zhang Yimou,1950-04-02,,2,607
Angelo Abela,1962-01-09,,2,2097764
Michael Mann,1943-02-05,,2,638
Laura Lau,1963-03-31,,1,642
Robb Derringer,1967-07-06,,2,1311361
John Coltrane,1926-09-23,1967-07-17,2,1049219
Blanchard Ryan,1967-01-12,,1,644
Philip Kaufman,1936-10-23,,2,648
Gong Li,1965-12-31,,1,643
Daniel Travis,1968-03-10,,2,646
Dion Beebe,1968-05-18,,2,647
Vernon Dobtcheff,1934-08-14,,2,649
Karen Allen,1951-10-05,,1,650
Paul Freeman,1943-01-18,,2,652
John Rhys-Davies,1944-05-05,,2,655
Rodolphe Pauly,1979-12-06,,2,654
Mariane Plasteig,1969-09-22,,1,657
Alfred Molina,1953-05-24,,2,658
Anthony Higgins,1947-05-09,,2,660
Frank Marshall,1946-09-13,,2,664
William Hootkins,1948-07-05,2005-10-23,2,663
Marcus Samuelsson,1971-01-25,,2,524954
Mary Selway,1936-03-14,2004-04-21,1,668
Norman Reynolds,1934-03-26,2023-04-06,2,669
Ben Burtt,1948-07-12,,2,670
Moritz Bleibtreu,1971-08-13,,2,677
Graeme Whifler,1951-05-10,,2,1049254
Martina Gedeck,1961-09-14,,1,678
Franka Potente,1974-07-22,,1,679
Nina Hoss,1975-07-07,,1,681
Uwe Ochsenknecht,1956-01-07,,2,682
Jasmin Tabatabai,1967-06-08,,1,683
Tom Schilling,1982-02-10,,2,684
Ke Huy Quan,1971-08-20,,2,690
Roshan Seth,1942-04-02,,2,693
David Yip,1951-06-04,,2,696
Philip Tan,1960-01-01,,2,702
Dan Aykroyd,1952-07-01,,2,707
Jennifer Grey,1960-03-26,,1,722
Patrick Swayze,1952-08-18,2009-09-14,2,723
Zamia Fandiño,1980-09-14,,1,1311442
Jerry Orbach,1935-10-20,2004-12-28,2,725
Kelly Bishop,1944-02-28,,1,728
Lonny Price,1959-03-09,,2,729
Frank Pando,1971-11-18,,2,1311449
Menno Meyjes,1954-01-01,,2,736
Ivan Jevtović,1972-04-05,,2,1049312
Sean Connery,1930-08-25,2020-10-31,2,738
Alison Doody,1966-11-11,,1,739
Julian Glover,1935-03-27,,2,740
River Phoenix,1970-08-23,1993-10-31,2,741
Michael Byrne,1943-11-07,,2,742
Kevork Malikyan,1943-06-02,,2,743
Howard Cai,1990-09-29,,2,1573604
Matt Barber,1983-04-26,,2,1311462
Alexei Sayle,1952-08-07,,2,746
Alex Hyde-White,1959-01-30,,2,747
Ali Suliman,1977-10-10,,2,762
Hiam Abbass,1960-11-30,,1,765
Ashraf Barhom,1979-01-08,,2,766
Martin Brest,1951-08-08,,2,769
Jerry Bruckheimer,1943-09-21,,2,770
Daniel Petrie Jr.,1952-10-30,,2,774
Eddie Murphy,1961-04-03,,2,776
Judge Reinhold,1957-05-21,,2,777
John Ashton,1948-02-22,2024-09-26,2,778
Ronny Cox,1938-07-23,,2,780
Paul Reiser,1956-03-30,,2,781
Steven Berkoff,1937-08-03,,2,782
Jonathan Banks,1947-01-31,,2,783
James Russo,1953-04-23,,2,785
Tony Kaye,1946-01-11,,2,814
Edward Norton,1969-08-18,,2,819
Edward Furlong,1977-08-02,,2,820
Beverly D'Angelo,1951-11-15,,1,821
Avery Brooks,1948-10-02,,2,822
Ethan Suplee,1976-05-25,,2,824
Stacy Keach,1941-06-02,,2,825
Fairuza Balk,1974-05-21,,1,826
Elliott Gould,1938-08-29,,2,827
Guy Torry,1969-01-05,,2,828
William Russ,1950-10-20,,2,829
Joe Cortese,1949-02-22,,2,830
Antonio David Lyons,1971-12-20,,2,832
Alex Sol,1973-06-01,,2,833
T.C. Stallings,1977-12-01,,2,525138
James Stewart,1908-05-20,1997-07-02,2,854
Ben Gazzara,1930-08-28,2012-02-03,2,856
Valerie McCaffrey,1955-05-13,,1,859
Duke Ellington,1899-04-29,1974-05-24,2,858
Roberto Zibetti,1971-03-11,,2,263002
Orson Bean,1928-07-22,2020-02-07,2,863
Michael Bay,1965-02-17,,2,865
Burkely Duffield,1992-08-09,,2,1049441
Gale Anne Hurd,1955-10-25,,1,869
Jonathan Hensleigh,1959-02-13,,2,876
Billy Bob Thornton,1955-08-04,,2,879
Ben Affleck,1972-08-15,,2,880
Liv Tyler,1977-07-01,,1,882
Will Patton,1954-06-14,,2,883
Steve Buscemi,1957-12-13,,2,884
William Fichtner,1956-11-27,,2,886
Owen Wilson,1968-11-18,,2,887
Tony Scott,1944-06-21,2012-08-19,2,893
Milton Welsh,1969-01-01,,2,902
David Giler,1943-07-23,2020-12-19,2,915
Branislav Trifunović,1978-01-16,,2,1049492
James Delingpole,1965-08-06,,2,1835924
Simon Heffer,1960-07-18,,2,1835925
Jürgen Prochnow,1941-06-10,,2,920
Brigitte Nielsen,1963-07-15,,1,921
Mark Littlewood,1972-04-28,,2,1835929
Dean Stockwell,1936-03-05,2021-11-07,2,923
Matt Ridley,1958-02-07,,2,1835930
Paul Guilfoyle,1949-04-28,,2,925
Kate Hoey,1946-06-21,,1,1835931
David Davis,1948-12-23,,2,1835935
Janet Daley,1944-03-21,,1,1835936
David Franzoni,1947-03-04,,2,929
John Logan,1961-09-24,,2,932
William Nicholson,1948-01-12,,2,933
Russell Crowe,1964-04-07,,2,934
Connie Nielsen,1965-07-03,,1,935
Oliver Reed,1938-02-13,1999-05-02,2,936
Derek Jacobi,1938-10-22,,2,937
Djimon Hounsou,1964-04-24,,2,938
David Schofield,1951-12-16,,2,939
John Shrapnel,1942-04-27,2020-02-14,2,940
Tomas Arana,1955-04-03,,2,941
Ralf Moeller,1959-01-12,,2,942
John Mathieson,1961-05-03,,2,943
Arthur Max,1946-05-01,,2,944
Janty Yates,1950-01-01,,1,946
Hans Zimmer,1957-09-12,,2,947
Pietro Scalia,1960-03-17,,2,950
Marisa Paredes,1946-04-03,2024-12-17,1,954
Penélope Cruz,1974-04-28,,1,955
Guy Ritchie,1968-09-10,,2,956
Matthew Vaughn,1971-03-07,,2,957
Richard Jackson,1955-01-27,,2,525243
Ignacia Allamand,1981-08-29,,1,1049536
Paz Bascuñan,1975-06-02,,1,1049537
Joel Houston,1979-09-19,,2,1311682
Jason Flemyng,1966-09-25,,2,973
Dexter Fletcher,1966-01-31,,2,974
Nick Moran,1969-12-23,,2,975
Jason Statham,1967-07-26,,2,976
Steven Mackintosh,1967-04-30,,2,978
Vinnie Jones,1965-01-05,,2,980
Sting,1951-10-02,,2,982
Lenny McLean,1949-04-09,1998-07-28,2,987
P.H. Moriarty,1939-01-27,2025-02-03,2,989
Frank Harper,1962-01-01,,2,990
Huggy Leaver,1957-06-18,,2,992
Stephen Marcus,1962-06-18,,2,994
Vas Blackwood,1962-10-19,,2,995
Jean Reno,1948-07-30,,2,1003
Danny Aiello,1933-06-20,2019-12-12,2,1004
Peter Appel,1959-10-19,,2,1005
Don Creech,1948-10-30,,2,1007
Michael Badalucco,1954-12-20,,2,1010
Susanne Bier,1960-04-15,,1,1011
Sonja Richter,1974-01-04,,1,1017
Nikolaj Lie Kaas,1973-05-22,,2,1018
Mads Mikkelsen,1965-11-22,,2,1019
Peter Lawson Jones,1952-12-23,,2,1836034
Martin Scorsese,1942-11-17,,2,1032
Paul Schrader,1946-07-22,,2,1035
Cybill Shepherd,1950-02-18,,1,1036
Harvey Keitel,1939-05-13,,2,1037
Jodie Foster,1962-11-19,,1,1038
Peter Boyle,1935-10-18,2006-12-12,2,1039
Julio Pachón,1961-03-05,,2,1311768
Bob Gale,1951-05-25,,2,1058
Neil Canton,1948-05-30,,2,1059
Dean Cundey,1946-03-12,,2,1060
Christopher Lloyd,1938-10-22,,2,1062
Lea Thompson,1961-05-31,,1,1063
Crispin Glover,1964-04-20,,2,1064
Thomas F. Wilson,1959-04-15,,2,1065
Claudia Wells,1966-07-05,,1,1066
Marc McClure,1957-03-31,,2,1067
George DiCenzo,1940-04-21,2010-08-09,2,1069
Frances Lee McCain,1944-07-28,,1,1070
Tom Tykwer,1965-05-23,,2,1071
James Tolkan,1931-06-20,,2,1072
Joachim Król,1957-06-17,,2,1084
Roger Fan,1972-08-17,,2,263229
Heino Ferch,1963-08-18,,2,1086
John McTiernan,1951-01-08,,2,1090
Joel Silver,1952-07-14,,2,1091
Lawrence Gordon,1936-03-25,,2,1093
Ronni Hawk,1999-09-09,,1,1836104
Arnold Schwarzenegger,1947-07-30,,2,1100
Carl Weathers,1948-01-14,2024-02-02,2,1101
Elpidia Carrillo,1961-04-16,,1,1102
Bill Duke,1943-02-26,,2,1103
Jesse Ventura,1951-07-15,,2,1104
Malachi Barton,2007-03-10,,2,1836114
Shane Black,1961-12-16,,2,1108
Jon Harris,1967-07-11,,2,1114
Stephen Graham,1973-08-03,,2,1115
Tom Waller,1974-04-04,,2,263260
Alan Ford,1938-02-23,,2,1116
Dennis Farina,1944-02-29,2013-07-22,2,1117
Rade Šerbedžija,1946-07-27,,2,1118
Robbie Gee,1970-03-24,,2,1119
Lennie James,1965-10-11,,2,1120
Benicio del Toro,1967-02-19,,2,1121
Mike Reid,1940-01-19,2007-07-29,2,1122
Ewen Bremner,1972-01-23,,2,1125
Agnieszka Holland,1948-11-28,,1,1128
Chris Christie,1962-09-06,,2,2360428
Juliette Binoche,1964-03-09,,1,1137
Zbigniew Zamachowski,1961-07-17,,2,1145
Julie Delpy,1969-12-21,,1,1146
Brian De Palma,1940-09-11,,2,1150
Oliver Stone,1946-09-15,,2,1152
Giorgio Moroder,1940-04-26,,2,1154
Al Pacino,1940-04-25,,2,1158
Steven Bauer,1956-12-02,,2,1159
Michelle Pfeiffer,1958-04-29,,1,1160
Mary Elizabeth Mastrantonio,1958-11-17,,1,1161
Robert Loggia,1930-01-03,2015-12-04,2,1162
Miriam Colon,1936-08-20,2017-03-03,1,1163
F. Murray Abraham,1939-10-24,,2,1164
Harris Yulin,1937-11-05,2025-06-10,2,1166
Jade Pettyjohn,2000-11-08,,1,1049742
Pepe Serna,1944-07-23,,2,1169
Michael P. Moran,1944-02-08,2004-02-04,2,1170
Mark Margolis,1939-11-26,2023-08-03,2,1173
Lone Scherfig,1959-05-02,,1,1176
Anders W. Berthelsen,1969-09-28,,2,1184
Kim Ki-duk,1960-12-20,2020-12-11,2,1188
Garry Marshall,1934-11-13,2016-07-19,2,1201
Julia Roberts,1967-10-28,,1,1204
Richard Gere,1949-08-31,,2,1205
Jason Alexander,1959-09-23,,2,1206
Elinor Donahue,1937-04-19,,1,1209
Héctor Elizondo,1936-12-22,,2,1210
Larry Miller,1953-10-15,,2,1211
Laura San Giacomo,1962-11-14,,1,1212
Bruce Lester-Johnson,1959-09-17,,2,2622652
Charles Minsky,1946-12-13,,2,1214
Raja Gosnell,1958-12-09,,2,1215
Camille Balsamo,1988-12-24,,1,1049795
Joel Coen,1954-11-29,,2,1223
Ethan Coen,1957-09-21,,2,1224
Jeff Bridges,1949-12-04,,2,1229
John Goodman,1952-06-20,,2,1230
Julianne Moore,1960-12-03,,1,1231
David Huddleston,1930-09-17,2016-08-02,2,1232
Philip Seymour Hoffman,1967-07-23,2014-02-02,2,1233
Tara Reid,1975-11-08,,1,1234
Mark Pellegrino,1965-04-09,,2,1236
Flea,1962-10-16,,2,1237
Torsten Voges,1961-01-01,,2,1238
John Turturro,1957-02-28,,2,1241
Jack Kehler,1946-05-22,2022-05-07,2,1240
Woody Allen,1935-11-30,,2,1243
Jonathan Rhys Meyers,1977-07-27,,2,1244
Scarlett Johansson,1984-11-22,,1,1245
Emily Mortimer,1971-10-06,,1,1246
Matthew Goode,1978-04-03,,2,1247
Brian Cox,1946-06-01,,2,1248
Penelope Wilton,1946-06-03,,1,1249
Alexander Armstrong,1970-03-02,,2,1250
Remi Adefarasin,1948-02-02,,2,1251
Kerry Cahill,1982-06-23,,1,1049830
David Mamet,1947-11-30,,2,1255
Letty Aronson,1943-01-01,,1,1265
Kevin Costner,1955-01-18,,2,1269
Charles Martin Smith,1953-10-30,,2,1270
Andy García,1956-04-12,,2,1271
Richard Bradford,1937-11-10,2016-03-22,2,1272
Brad Sullivan,1931-11-18,2008-12-31,2,1274
Billy Drago,1945-11-30,2019-06-24,2,1275
Patricia Clarkson,1959-12-29,,1,1276
Vito D'Ambrosio,1957-12-29,,2,1277
Don Harvey,1960-05-31,,2,1280
Freddie Highmore,1992-02-14,,2,1281
David Kelly,1929-07-11,2012-02-12,2,1282
Helena Bonham Carter,1966-05-26,,1,1283
Noah Taylor,1969-09-04,,2,1284
AnnaSophia Robb,1993-12-08,,1,1285
Jordan Fry,1993-06-07,,2,1290
James Fox,1939-05-19,,2,1292
Missi Pyle,1972-11-16,,1,1294
Deep Roy,1949-01-26,,2,1295
Richard D. Zanuck,1934-12-13,2012-07-13,2,1297
Roald Dahl,1916-09-13,1990-11-23,2,1299
John August,1970-04-04,,2,1300
Andrew Lesnie,1956-01-01,2015-04-27,2,1313
Grant Major,1955-01-01,,2,1314
Eric Erlandson,1963-01-09,,2,2622753
Petra Silander,1988-01-12,,1,1574183
John Howe,1957-08-21,,2,1321
Ngila Dickson,1958-01-01,,1,1322
Richard Taylor,1965-02-08,,2,1323
Travis Burns,1991-04-23,,2,2360621
Calli Taylor,1998-01-05,,1,2360620
Ian McKellen,1939-05-25,,2,1327
Sean Astin,1971-02-25,,2,1328
Billy Boyd,1968-08-28,,2,1329
Dominic Monaghan,1976-12-08,,2,1330
Hugo Weaving,1960-04-04,,2,1331
Andy Serkis,1964-04-20,,2,1333
Amanda Day,1975-07-14,,1,2098486
Jet Li,1963-04-26,,2,1336
Tony Leung Chiu-wai,1962-06-27,,2,1337
Zhang Ziyi,1979-02-09,,1,1339
Hannah Gross,1992-09-25,,1,1049916
Donnie Yen,1963-07-27,,2,1341
Deragh Campbell,1989-05-04,,1,1049919
Irène Jacob,1966-07-15,,1,1350
Jean-Pierre Lorit,1960-11-29,,2,1356
Christopher Doyle,1952-05-02,,2,1357
Shashank Arora,1989-02-21,,2,1312081
Adriene Mishler,1984-09-29,,1,1049938
Lawrence Makoare,1968-03-20,,2,1365
Sala Baker,1976-09-22,,2,1366
Bernard Hill,1944-12-17,2024-05-05,2,1369
Brad Dourif,1950-03-18,,2,1370
David Wenham,1965-09-21,,2,1371
Karl Urban,1972-06-07,,2,1372
John Noble,1948-08-20,,2,1381
Paul Norell,1952-02-11,,2,1382
Maria Pakulnis,1956-07-02,,1,1385
Ella Cannon,1990-08-06,,1,1836396
David Spinx,1951-04-25,,2,1312124
Ursula K. Le Guin,1929-10-21,2018-01-22,1,1415
Albert Maysles,1926-11-26,2015-03-05,2,1418
Jana Milić,1981-12-31,,1,1049998
Mick Jagger,1943-07-26,,2,1428
Charlie Watts,1941-06-02,2021-08-24,2,1429
Keith Richards,1943-12-18,,2,1430
Bill Wyman,1936-10-24,,2,1431
Mick Taylor,1949-01-17,,2,1432
Tayler Buck,2003-11-14,,1,1836442
Sonny Barger,1938-10-08,,2,1435
Jerry Garcia,1942-08-01,1995-08-09,2,1442
Dylan Llewellyn,1993-09-10,,2,1312166
Rodney Fox,1940-11-09,,2,1050022
Phil Lesh,1940-03-15,2024-10-25,2,1450
Junie Hoang,1971-07-16,,1,1050030
Ike Turner,1931-11-05,2007-12-12,2,1458
Yennis Cheung,1986-07-21,,1,1574323
