birthday,deathday,gender,person_id,known_for_department,age,movie_count
1951-07-06,,2,118,Acting,72,15
1963-09-18,,2,32887,Acting,60,7
1965-04-26,,2,32895,Acting,58,16
1971-01-13,,2,1441919,Acting,52,2
1962-01-29,,2,32897,Acting,61,8
1980-12-19,,2,131,Acting,43,22
1959-09-29,,2,132,Acting,64,3
1971-03-07,,2,133,Acting,52,17
1967-12-13,,2,134,Acting,56,25
1995-11-06,,1,557188,Acting,28,1
1966-02-22,,1,32905,Acting,57,6
1963-03-27,,2,138,Directing,60,14
1970-04-29,,1,139,Acting,53,7
1968-12-02,,1,140,Acting,55,15
1936-12-08,2009-06-03,2,141,Acting,72,5
1976-10-09,,2,32907,Acting,47,16
2016-01-01,,1,2785418,Acting,7,1
1963-01-25,,2,65677,Writing,60,3
1957-09-25,2025-07-03,2,147,Acting,67,7
1981-04-29,,2,65683,Acting,42,2
1969-07-05,,2,150,Sound,54,15
1982-11-29,,2,155,Acting,41,7
1966-05-25,,2,65699,Acting,57,5
1947-06-18,,2,169,Acting,76,1
1971-03-10,,2,65717,Acting,52,16
1959-12-26,,2,183,Directing,64,1
1930-05-31,,2,190,Acting,93,23
1971-09-01,,2,65726,Acting,52,7
1937-06-01,,2,192,Acting,86,33
1930-01-30,2025-02-17,2,193,Acting,95,5
1930-10-01,2002-10-25,2,194,Acting,72,2
1976-08-02,,2,65731,Acting,47,10
1957-03-15,,2,197,Directing,66,2
1957-10-29,,2,198,Acting,66,7
1950-09-07,,1,199,Acting,73,2
1957-10-25,,1,200,Acting,66,1
1965-11-06,,1,229568,Directing,58,1
1978-07-21,,2,65738,Acting,45,1
1972-02-05,,2,65734,Directing,51,5
1975-10-05,,1,204,Acting,48,20
1982-04-30,,1,205,Acting,41,16
1962-01-17,,2,206,Acting,61,19
1948-02-05,2023-12-30,2,207,Acting,75,15
1955-12-11,,1,65740,Acting,68,1
1965-04-01,,1,209,Acting,58,6
1979-09-10,,2,65743,Acting,44,1
1958-11-19,,2,202,Writing,65,2
1964-04-04,,2,212,Acting,59,18
2001-11-07,,2,524503,Acting,22,2
1994-08-25,,2,216,Acting,29,3
1989-05-29,,1,98522,Acting,34,5
1980-01-08,,2,32987,Acting,43,3
1970-03-23,,1,65756,Acting,53,1
1990-01-26,,2,65757,Acting,33,1
1963-08-15,,2,223,Directing,60,4
1943-03-15,,2,224,Directing,80,3
1966-03-23,,1,65760,Acting,57,5
1973-11-13,,2,65762,Acting,50,3
1950-03-20,2022-03-13,2,227,Acting,71,17
1950-11-28,,2,228,Acting,73,16
1947-02-03,,2,230,Acting,76,12
1978-02-17,,2,225,Acting,45,1
1952-01-14,,2,229,Acting,71,6
1972-08-19,,2,231,Acting,51,9
1984-08-03,,2,232,Acting,39,4
1966-11-16,,2,65771,Acting,57,1
1986-07-25,,1,233,Acting,37,2
1968-08-01,,2,237,Acting,55,4
1981-10-30,,2,65772,Acting,42,3
1986-06-03,,2,426216,Acting,37,3
1985-01-28,,2,557303,Acting,38,2
1931-09-09,2011-06-25,1,250,Acting,79,2
1979-08-30,,1,164094,Acting,44,6
1978-11-30,,2,258,Acting,45,4
1968-01-01,,2,557323,Acting,55,4
1956-03-05,,1,270,Acting,67,6
1960-03-11,,2,65808,Acting,63,11
1949-03-13,,2,164114,Acting,74,3
2002-12-23,,2,1442069,Acting,21,4
1940-11-22,,2,280,Directing,83,2
1980-03-24,,2,33052,Acting,43,2
1978-07-19,,1,33053,Acting,45,2
1963-12-18,,2,287,Acting,60,30
1970-10-14,,2,288,Acting,53,3
1958-08-18,,1,289,Acting,65,1
1929-12-13,2021-02-05,2,290,Acting,91,14
1956-06-04,,2,65827,Acting,67,21
1966-11-06,,2,229667,Acting,57,1
1969-10-17,,2,65829,Acting,54,8
1976-01-28,,2,229672,Acting,47,2
1989-02-05,,2,65838,Acting,34,4
1963-07-13,,2,65855,Directing,60,1
2008-08-28,,2,1704256,Acting,15,1
1962-11-06,,2,65856,Visual Effects,61,1
1945-03-24,2016-09-20,2,323,Directing,71,2
1972-10-17,,2,325,Acting,51,3
1953-12-08,,1,326,Acting,70,7
1974-12-29,,2,327,Acting,49,7
1977-11-10,2009-12-20,1,328,Acting,32,3
1984-07-30,,2,98632,Acting,39,2
1982-12-03,,2,98631,Directing,41,6
1976-04-01,,2,333,Acting,47,9
1978-10-07,,2,334,Acting,45,5
1974-08-07,,2,335,Acting,49,26
1974-09-18,,2,336,Acting,49,7
1958-07-14,,1,1212755,Directing,65,1
1979-03-29,2008-11-26,2,341,Acting,29,1
1975-08-28,,2,342,Acting,48,3
1978-11-06,,1,343,Acting,45,3
1939-01-26,,2,349,Acting,84,8
1964-02-05,,1,350,Acting,59,12
1955-04-23,,1,351,Acting,68,3
1954-06-02,,2,352,Acting,69,11
1964-11-26,,1,65890,Acting,59,1
1961-10-11,,2,357,Directing,62,1
1989-04-05,,1,1016168,Acting,34,8
2000-01-20,,1,1802602,Acting,23,1
1973-03-26,,2,164205,Acting,50,1
1963-12-16,,2,366,Directing,60,11
1976-03-22,,1,368,Acting,47,21
1997-11-06,,2,1114487,Acting,26,5
1947-06-01,,2,378,Acting,76,9
1943-08-17,,2,380,Acting,80,33
1942-10-26,2014-04-29,2,382,Acting,71,9
1965-12-16,,2,65920,Acting,58,10
1934-04-07,2007-02-09,2,385,Acting,72,2
1943-05-05,,2,383,Acting,80,2
1949-05-24,,2,388,Acting,74,15
1972-05-22,,1,389,Acting,51,1
1944-07-31,,1,400,Acting,79,3
1948-02-14,,0,1212818,Acting,75,1
1974-08-27,,2,164242,Acting,49,3
1967-06-29,,1,404,Acting,56,6
1983-06-12,,2,1573273,Acting,40,2
1955-07-09,,2,33181,Acting,68,3
1963-09-10,,2,33182,Acting,60,4
1970-01-01,,2,33183,Directing,53,6
1978-05-22,,1,417,Acting,45,6
1958-11-05,,2,418,Acting,65,11
1983-11-22,,2,419,Acting,40,1
1958-02-13,,1,33190,Acting,65,1
1972-04-05,,2,422,Acting,51,1
1974-06-23,,2,33192,Acting,49,20
1970-05-10,,2,424,Acting,53,6
1974-03-07,,2,426,Acting,49,1
1990-08-10,,2,429,Acting,33,8
1988-02-20,,1,131519,Acting,35,6
1974-07-30,,1,448,Acting,49,10
1982-04-09,,2,449,Acting,41,13
1976-08-26,,2,450,Acting,47,6
1967-12-07,,1,451,Acting,56,2
1951-07-18,,1,452,Acting,72,13
1979-03-05,,1,453,Acting,44,7
1976-01-13,,2,454,Acting,47,30
1987-04-12,,1,131520,Acting,36,3
1986-05-21,,1,1180099,Acting,37,5
1971-09-15,,1,1212864,Acting,52,6
1953-03-10,,2,455,Writing,70,3
1967-10-25,,2,131532,Crew,56,8
1992-01-19,,2,33235,Acting,31,13
1961-05-02,,2,468,Directing,62,3
1962-11-05,,2,33241,Acting,61,5
1950-02-22,,1,477,Acting,73,5
1986-03-14,,2,478,Acting,37,10
1958-11-30,,2,480,Acting,65,4
1963-02-15,,2,486,Writing,60,4
1946-12-18,,2,488,Directing,77,19
1979-02-21,,1,33259,Acting,44,4
1976-03-08,,2,33260,Acting,47,3
1959-12-02,,2,33262,Acting,64,7
1962-11-05,,1,1212913,Acting,61,3
1996-11-18,,2,2556401,Acting,27,1
1962-07-03,,2,500,Acting,61,23
1994-02-23,,1,501,Acting,29,15
1967-12-16,,1,502,Acting,56,6
1982-10-31,,2,503,Acting,41,4
1958-10-16,,2,504,Acting,65,10
1977-06-20,,2,98804,Acting,46,4
2006-06-08,,1,1540602,Acting,17,1
2003-03-03,,2,1540601,Acting,20,2
1963-06-09,,2,508,Writing,60,4
1958-08-25,,2,510,Directing,65,13
1937-04-22,,2,514,Acting,86,7
1947-03-19,,1,515,Acting,76,6
1958-05-29,,1,516,Acting,65,7
1979-02-11,,1,33285,Acting,44,1
1953-05-16,,2,517,Acting,70,8
1950-03-26,,2,519,Acting,73,8
1965-03-25,,1,520,Acting,58,5
1961-06-09,,2,521,Acting,62,3
1944-11-17,,2,518,Acting,79,12
1969-09-17,,2,33286,Acting,54,3
1981-06-09,,1,524,Acting,42,20
1972-11-10,,2,33293,Acting,51,3
1976-04-16,,2,526,Acting,47,13
1992-12-14,,1,1540615,Acting,31,2
1967-10-05,,2,529,Acting,56,16
1967-08-21,,1,530,Acting,56,9
1988-11-28,,2,1081875,Acting,35,2
1951-09-12,,2,532,Acting,72,6
1955-03-17,,2,534,Acting,68,5
1968-07-07,,1,536,Acting,55,1
1951-05-30,,2,537,Acting,72,9
1955-01-08,,1,538,Acting,68,5
1970-08-09,,2,539,Acting,53,17
1960-09-14,,2,540,Acting,63,10
1967-01-09,,2,66070,Acting,56,3
1974-07-28,,1,1278487,Acting,49,2
1970-05-04,,1,33310,Acting,53,3
1961-05-15,2011-02-13,2,544,Acting,49,3
1962-09-05,,2,545,Production,61,3
1996-01-06,,1,1278500,Acting,27,2
1976-04-26,,2,1245730,Writing,47,2
1954-08-12,,2,33321,Acting,69,2
1983-07-10,,1,229932,Acting,40,5
1961-07-08,,2,559,Camera,62,1
1960-07-30,,2,564,Directing,63,7
1981-04-23,,1,1475127,Acting,42,3
1975-03-17,,1,33336,Acting,48,5
1970-11-06,,2,569,Acting,53,18
1966-01-17,,2,131642,Acting,57,1
1979-08-07,,2,33337,Acting,44,3
1977-07-24,,1,1475128,Acting,46,2
1949-06-15,,2,33341,Directing,74,2
1964-10-09,,2,33343,Acting,59,2
1937-11-30,,2,578,Directing,86,18
1982-05-11,2013-07-13,2,33352,Acting,31,2
1944-01-23,2019-07-19,2,585,Acting,75,5
1969-01-26,,2,66121,Directing,54,4
1947-02-24,,2,587,Acting,76,7
1935-03-22,2024-03-19,2,588,Acting,88,2
1960-12-03,,1,589,Acting,63,3
1945-08-02,,1,593,Acting,78,2
1996-12-02,,1,1737298,Acting,27,1
1944-11-25,,2,131667,Acting,79,1
1974-03-10,,2,66143,Acting,49,1
1950-04-02,,2,607,Directing,73,1
1993-08-02,,2,1376875,Acting,30,1
1964-09-25,,1,33394,Acting,59,3
1991-02-28,,1,33397,Acting,32,2
1972-04-26,,1,33399,Acting,51,2
1943-02-05,,2,638,Directing,80,7
1965-12-31,,1,643,Acting,58,4
1967-01-12,,1,644,Acting,56,3
1968-03-10,,2,646,Acting,55,2
2008-04-22,,1,1704579,Acting,15,2
1934-08-14,,2,649,Acting,89,1
1951-10-05,,1,650,Acting,72,3
1983-09-28,,1,131723,Acting,40,5
1941-06-17,2021-10-18,2,131725,Acting,80,5
1979-12-06,,2,654,Acting,44,3
1944-05-05,,2,655,Acting,79,8
1979-11-25,,2,98953,Acting,44,6
1962-03-12,,2,66193,Directing,61,8
1953-05-24,,2,658,Acting,70,21
1971-01-01,,1,590483,Acting,52,1
1969-09-22,,1,657,Acting,54,1
1957-05-21,,1,66188,Acting,66,1
1980-10-06,,1,33430,Acting,43,5
1966-07-21,,1,33432,Acting,57,3
1964-04-08,,2,1213074,Writing,59,1
1946-09-13,,2,664,Production,77,1
1953-03-04,,2,33433,Directing,70,2
1948-07-12,,2,670,Sound,75,1
1979-11-29,,2,66212,Directing,44,2
1974-07-22,,1,679,Acting,49,5
1975-07-07,,1,681,Acting,48,2
1961-10-27,,1,33450,Acting,62,2
2011-10-15,,2,3277483,Acting,12,1
1968-08-10,,2,66219,Writing,55,1
1957-03-20,,1,33457,Acting,66,2
1958-01-01,,2,1213105,Acting,65,2
1971-08-20,,2,690,Acting,52,1
1942-04-02,,2,693,Acting,81,2
1983-01-02,,2,1180346,Acting,40,1
1990-10-24,,1,131771,Acting,33,3
1980-04-26,,2,131772,Acting,43,8
2010-05-04,,1,1704640,Acting,13,4
1993-06-10,,1,1704641,Acting,30,1
2010-09-30,,1,1704642,Acting,13,1
1952-07-01,,2,707,Acting,71,9
1990-08-09,,1,131781,Acting,33,1
1989-08-17,,2,1213130,Acting,34,1
1973-12-03,,2,66252,Acting,50,1
1991-10-14,,2,66257,Acting,32,1
1946-12-21,,2,33489,Acting,77,1
1967-02-08,,2,66268,Acting,56,3
1964-05-22,,2,33501,Acting,59,6
1932-11-25,,1,33500,Acting,91,5
1930-08-25,2020-10-31,2,738,Acting,90,2
1935-03-27,,2,740,Acting,88,5
1943-06-02,,2,743,Acting,80,2
1983-06-17,,2,33515,Acting,40,1
1963-11-06,,2,33516,Acting,60,2
1974-11-09,,2,33517,Acting,49,2
1986-12-17,,1,131820,Acting,37,1
1977-08-15,,2,131821,Acting,46,2
1972-11-11,,2,33527,Acting,51,6
1986-05-28,,2,33528,Acting,37,5
1977-10-10,,2,762,Acting,46,3
1990-03-28,,1,1606394,Acting,33,2
1978-09-30,,2,33532,Acting,45,4
1944-08-07,,2,33533,Acting,79,7
1979-01-08,,2,766,Acting,44,4
1960-11-30,,1,765,Acting,63,4
1987-05-13,,2,1278721,Acting,36,2
1976-01-01,,1,1278722,Directing,47,2
1997-09-16,,1,1278724,Acting,26,3
1991-11-11,,2,1278725,Acting,32,1
1986-11-29,,2,1377031,Acting,37,1
1961-04-03,,2,776,Acting,62,14
1957-05-21,,2,777,Acting,66,2
1948-02-22,2024-09-26,2,778,Acting,76,1
1956-03-30,,2,781,Acting,67,4
1937-08-03,,2,782,Acting,86,3
1947-01-31,,2,783,Acting,76,5
1953-04-23,,2,785,Acting,70,4
1986-05-20,,1,131871,Acting,37,2
1978-11-10,,1,230176,Acting,45,3
1982-01-01,,1,1245993,Acting,41,1
1969-08-18,,2,819,Acting,54,24
1977-08-02,,2,820,Acting,46,2
1951-11-15,,1,821,Acting,72,4
1976-05-25,,2,824,Acting,47,18
1941-06-02,,2,825,Acting,82,7
1974-05-21,,1,826,Acting,49,2
1938-08-29,,2,827,Acting,85,6
1969-01-05,,2,828,Acting,54,3
1949-02-22,,2,830,Acting,74,1
2010-09-11,,1,1901375,Acting,13,1
1986-07-07,,1,1704768,Acting,37,2
1979-03-09,,2,1278789,Acting,44,1
2004-03-11,,1,1704781,Acting,19,1
2009-02-19,,2,1704786,Acting,14,1
2003-07-01,,1,1344344,Acting,20,6
1989-10-24,,1,1213278,Acting,34,1
1989-01-15,,2,1213279,Acting,34,3
1928-07-22,2020-02-07,2,863,Acting,91,1
1997-07-13,,2,557921,Acting,26,2
1965-02-17,,2,865,Directing,58,16
1980-05-28,,1,983909,Writing,43,1
1994-07-23,,2,1344361,Acting,29,5
1987-12-07,,2,557930,Acting,36,1
1975-11-27,,1,99181,Acting,48,3
1976-01-01,,1,99182,Acting,47,3
1955-08-04,,2,879,Acting,68,12
1972-08-15,,2,880,Acting,51,31
1959-02-13,,2,876,Writing,64,1
1977-07-01,,1,882,Acting,46,10
1954-06-14,,2,883,Acting,69,11
1957-12-13,,2,884,Acting,66,27
1974-05-07,,2,33654,Acting,49,7
1968-11-18,,2,887,Acting,55,37
1956-11-27,,2,886,Acting,67,18
1982-11-10,,1,33656,Acting,41,7
1969-11-19,,1,33655,Acting,54,3
1944-06-21,2012-08-19,2,893,Directing,68,6
1983-12-31,,2,33668,Acting,40,3
1979-08-10,,1,99206,Acting,44,4
1987-05-14,,1,99207,Acting,36,1
1985-09-26,,1,66441,Acting,38,3
1984-01-01,,1,66443,Acting,39,2
1973-07-08,,1,33676,Acting,50,2
1977-12-30,,1,66446,Acting,46,3
1960-05-10,,2,33684,Acting,63,3
1941-06-10,,2,920,Acting,82,2
1953-12-29,,1,33689,Acting,70,2
1998-09-11,,1,1115033,Acting,25,3
1936-03-05,2021-11-07,2,923,Acting,85,1
1963-07-15,,1,921,Acting,60,1
1964-04-07,,2,934,Acting,59,25
1965-07-03,,1,935,Acting,58,9
1938-02-13,1999-05-02,2,936,Acting,61,1
1938-10-22,,2,937,Acting,85,11
1964-04-24,,2,938,Acting,59,24
1951-12-16,,2,939,Acting,72,6
1942-04-27,2020-02-14,2,940,Acting,77,5
1955-04-03,,2,941,Acting,68,7
1959-01-12,,2,942,Acting,64,4
1948-04-05,,2,33712,Acting,75,2
1974-04-28,,1,955,Acting,49,14
1968-09-10,,2,956,Directing,55,9
1971-03-07,,2,957,Directing,52,5
1975-06-02,,1,1049537,Acting,48,1
1981-08-29,,1,1049536,Acting,42,2
1966-09-25,,2,973,Acting,57,13
1966-01-31,,2,974,Acting,57,6
1967-07-26,,2,976,Acting,56,38
1964-09-02,,2,66512,Directing,59,1
1967-04-30,,2,978,Acting,56,5
1998-06-14,,1,1213395,Acting,25,1
1965-01-05,,2,980,Acting,58,11
2009-06-19,,2,2786265,Acting,14,1
1984-02-28,,1,66524,Acting,39,3
1982-12-14,,2,66525,Acting,41,3
1983-02-26,,1,558055,Acting,40,2
1984-09-18,,2,66536,Acting,39,1
1985-02-05,,1,66537,Acting,38,2
1948-07-30,,2,1003,Acting,75,6
1978-06-12,,2,132078,Acting,45,3
1954-12-20,,2,1010,Acting,69,4
1995-11-02,,2,1115122,Acting,28,3
1967-11-04,,2,99314,Acting,56,1
1963-05-08,,2,201,Directing,60,3
1960-04-15,,1,1011,Directing,63,1
1953-07-11,,2,66548,Directing,70,1
1965-07-24,,2,66554,Acting,58,2
1965-11-22,,2,1019,Acting,58,9
1982-09-04,,1,66555,Acting,41,2
1973-05-22,,2,1018,Acting,50,2
1979-11-11,,2,230400,Acting,44,3
1952-12-23,,2,1836034,Acting,71,1
1964-11-07,,2,66563,Writing,59,1
1942-11-17,,2,1032,Directing,81,15
1946-07-22,,2,1035,Writing,77,1
1939-05-13,,2,1037,Acting,84,11
1962-11-19,,1,1038,Acting,61,9
1935-10-18,2006-12-12,2,1039,Acting,71,4
1974-02-24,,1,66579,Acting,49,3
1965-11-26,,2,66580,Acting,58,6
1997-03-30,,1,1803286,Acting,26,1
1953-06-16,2025-05-30,1,99351,Acting,71,2
1995-06-20,,1,1803287,Acting,28,1
1984-10-01,,2,1180696,Acting,39,4
1969-03-27,,1,66586,Acting,54,6
1984-09-04,,2,1180698,Acting,39,3
1971-04-16,,2,66587,Acting,52,1
1938-10-22,,2,1062,Acting,85,6
1961-05-31,,1,1063,Acting,62,2
1964-04-20,,2,1064,Acting,59,7
1963-09-10,,2,33836,Acting,60,10
1965-05-23,,2,1071,Directing,58,3
1987-04-02,,2,1541178,Acting,36,1
1992-09-30,,3,132157,Acting,31,10
1989-03-03,,1,66623,Acting,34,2
1951-01-08,,2,1090,Directing,72,1
1969-11-05,,2,66634,Acting,54,2
1947-07-30,,2,1100,Acting,76,14
1961-04-16,,1,1102,Acting,62,3
1943-02-26,,2,1103,Acting,80,3
1968-02-25,,1,99407,Acting,55,1
1980-01-10,,1,164945,Acting,43,5
2007-03-10,,2,1836114,Acting,16,1
1961-12-16,,2,1108,Writing,62,4
1998-06-19,,2,66646,Acting,25,3
1981-10-03,,1,99414,Acting,42,1
1967-07-11,,2,1114,Editing,56,1
1973-08-03,,2,1115,Acting,50,10
1944-02-29,2013-07-22,2,1117,Acting,69,1
1946-07-27,,2,1118,Acting,77,10
1970-03-24,,2,1119,Acting,53,2
1965-10-11,,2,1120,Acting,58,4
1967-02-19,,2,1121,Acting,56,15
1996-12-27,,2,66658,Acting,27,2
1972-08-03,,1,66655,Acting,51,2
1972-01-23,,2,1125,Acting,51,11
1983-05-02,,2,1279082,Acting,40,2
1964-03-09,,1,1137,Acting,59,4
1999-08-19,,2,132213,Acting,24,1
1978-02-19,,2,66681,Directing,45,7
1969-12-21,,1,1146,Acting,54,4
1994-06-09,,2,132220,Acting,29,1
1940-09-11,,2,1150,Directing,83,3
1946-09-15,,2,1152,Directing,77,6
1982-04-01,,2,1213573,Acting,41,9
1940-04-25,,2,1158,Acting,83,9
1964-12-29,,2,197767,Acting,59,1
1958-04-29,,1,1160,Acting,65,14
1958-11-17,,1,1161,Acting,65,1
1992-08-22,,2,1442955,Acting,31,3
1939-10-24,,2,1164,Acting,84,9
1974-07-27,,2,1082509,Acting,49,2
1937-11-05,2025-06-10,2,1166,Acting,87,3
1976-01-18,,2,33934,Acting,47,2
1968-02-05,,2,33935,Acting,55,1
1979-05-16,,1,33936,Acting,44,4
1943-02-03,,2,33938,Acting,80,1
1975-09-14,,2,132239,Directing,48,1
1939-11-26,2023-08-03,2,1173,Acting,83,12
1992-07-09,,1,1442968,Acting,31,1
1959-05-02,,1,1176,Directing,64,2
1961-09-02,,2,66717,Acting,62,2
2005-05-26,,1,1475744,Acting,18,1
1965-03-26,,2,66728,Directing,58,1
1934-11-13,2016-07-19,2,1201,Acting,81,8
1994-11-07,,2,1377458,Acting,29,4
1967-10-28,,1,1204,Acting,56,21
1949-08-31,,2,1205,Acting,74,6
1959-09-23,,2,1206,Acting,64,3
1984-06-01,,2,66741,Acting,39,2
1977-10-11,,2,66743,Acting,46,8
2006-12-05,,1,1508532,Acting,17,2
1936-12-22,,2,1210,Acting,87,7
1953-10-15,,2,1211,Acting,70,11
1973-04-05,,2,558267,Acting,50,6
1958-12-09,,2,1215,Directing,65,6
1954-11-29,,2,1223,Directing,69,10
1957-09-21,,2,1224,Writing,66,7
1974-05-23,,1,66762,Acting,49,1
1949-12-04,,2,1229,Acting,74,14
1952-06-20,,2,1230,Acting,71,32
1960-12-03,,1,1231,Acting,63,19
1979-12-28,,2,459980,Acting,44,6
1967-07-23,2014-02-02,2,1233,Acting,46,20
1975-11-08,,1,1234,Acting,48,3
1965-04-09,,2,1236,Acting,58,4
1962-10-16,,2,1237,Acting,61,4
1981-08-02,,2,2032852,Acting,42,1
1946-05-22,2022-05-07,2,1240,Acting,75,2
1957-02-28,,2,1241,Acting,66,15
1946-03-12,,1,66776,Acting,77,1
1935-11-30,,2,1243,Directing,88,15
1977-07-27,,2,1244,Acting,46,5
1984-11-22,,1,1245,Acting,39,37
1971-10-06,,1,1246,Acting,52,10
1978-04-03,,2,1247,Acting,45,9
1946-06-01,,2,1248,Acting,77,22
1946-06-03,,1,1249,Acting,77,3
1981-03-27,,2,34018,Acting,42,1
1978-07-05,,1,34019,Acting,45,1
1982-06-23,,1,1049830,Acting,41,8
1956-04-07,,2,66792,Acting,67,2
1992-02-12,,2,1475818,Acting,31,1
1989-03-11,,1,1180907,Acting,34,1
1955-01-18,,2,1269,Acting,68,13
1953-10-30,,2,1270,Acting,70,1
1956-04-12,,2,1271,Acting,67,15
1986-10-15,,2,492791,Acting,37,4
1945-11-30,2019-06-24,2,1275,Acting,73,2
1959-12-29,,1,1276,Acting,64,14
1960-05-31,,2,1280,Acting,63,5
1992-02-14,,2,1281,Acting,31,7
1929-07-11,2012-02-12,2,1282,Acting,82,2
1966-05-26,,1,1283,Acting,57,15
1969-09-04,,2,1284,Acting,54,10
1993-12-08,,1,1285,Acting,30,6
1980-03-31,,1,132354,Acting,43,4
1981-05-11,,2,1541380,Acting,42,4
1985-08-23,,1,1246472,Acting,38,1
1993-06-07,,2,1290,Acting,30,2
1939-05-19,,2,1292,Acting,84,2
1982-06-22,,1,3376396,Acting,41,1
1972-11-16,,1,1294,Acting,51,14
1949-01-26,,2,1295,Acting,74,10
1982-07-20,,2,1180945,Acting,41,1
1978-05-05,,2,34065,Acting,45,2
1981-02-05,,1,34070,Acting,42,2
1992-07-09,,2,230680,Acting,31,4
1948-11-05,,2,1082650,Acting,75,1
1994-03-21,,1,1508653,Acting,29,4
1939-05-25,,2,1327,Acting,84,19
1971-02-25,,2,1328,Acting,52,7
1968-08-28,,2,1329,Acting,55,5
1976-12-08,,2,1330,Acting,47,5
1960-04-04,,2,1331,Acting,63,17
1984-10-01,,2,1180979,Acting,39,3
1964-04-20,,2,1333,Acting,59,21
1995-04-18,,1,1279279,Acting,28,3
1963-04-26,,2,1336,Acting,60,11
1998-10-17,,1,1672504,Acting,25,2
1962-06-27,,2,1337,Acting,61,1
1979-02-09,,1,1339,Acting,44,4
1963-07-27,,2,1341,Acting,60,6
1993-02-24,,2,34111,Acting,30,1
1959-10-29,,1,66881,Acting,64,1
1985-12-10,,1,66896,Acting,38,3
1976-09-22,,2,1366,Crew,47,17
1944-12-17,2024-05-05,2,1369,Acting,79,6
1949-02-02,,2,1213786,Acting,74,6
1965-09-21,,2,1371,Acting,58,11
1972-06-07,,2,1372,Acting,51,17
1950-03-18,,2,1370,Acting,73,8
1984-02-07,,2,1181022,Directing,39,1
1946-08-13,2010-09-25,2,34143,Acting,64,1
1948-08-20,,2,1381,Acting,75,5
1990-07-10,,2,1344869,Acting,33,1
1963-12-19,,2,99687,Acting,60,1
1960-09-04,2012-01-23,2,66934,Acting,51,2
1966-12-08,,2,1475960,Acting,57,7
1987-12-11,,2,558466,Acting,36,5
1982-11-21,,2,1607044,Acting,41,1
1968-09-05,,2,1377670,Acting,55,5
1969-05-29,,2,165263,Acting,54,4
1953-05-09,,1,66960,Directing,70,1
1979-07-16,,1,34195,Acting,44,8
1943-12-18,,2,1430,Acting,80,2
1987-12-28,,2,34199,Acting,36,2
1962-02-14,,1,34200,Acting,61,6
1985-05-31,,1,1377686,Acting,38,2
1983-04-01,,2,34202,Acting,40,4
2003-11-14,,1,1836442,Acting,20,1
1963-11-28,,2,1246618,Acting,60,1
1948-03-02,,2,591265,Acting,75,1
1986-07-15,,2,1639847,Acting,37,9
1988-07-25,,2,1639848,Acting,35,4
1972-11-19,,1,165293,Acting,51,2
